"view_count"	"like_count"	"dislike_count"	"duration"	"id"	
119399	5859	75	1656.0	"toGghEq2Ka8"	
116986	4695	56	1644.0	"L_prYJtinMY"	
120446	6599	39	1482.0	"aMqU20sADXg"	
123803	6075	56	1506.0	"DSucP0-eOag"	
139421	6811	47	1500.0	"e5rb_0TX5C0"	
647764	19848	208	1833.0	"M7cyhSybjMU"	
132955	7033	55	1585.0	"u9KMZmpPslQ"	
134232	6232	66	1568.0	"rYvCs5xyvVk"	
131074	5891	56	1510.0	"Kh1vz0t7Yfo"	
124684	4965	59	2106.0	"nU8ZjJ9TyXI"	
124234	5888	33	1555.0	"NCkwoq5qQbg"	
230699	11481	66	1425.0	"V_Q57S2RUQU"	
125683	5781	57	1476.0	"9Wozz4-vH3s"	
148460	7367	53	1569.0	"bbpLjnD6jrQ"	
140685	7250	57	1443.0	"Y4v8EOzznfI"	
156966	7479	99	2076.0	"5aR4o4KYTeI"	
144484	7406	77	1516.0	"m7TjYI21A3E"	
157137	8139	46	1420.0	"0b47i4Zx97Q"	
151131	5329	65	1970.0	"8YXqmL_O4Lg"	
150096	7702	50	1618.0	"qfNoQWhG_Ug"	
380465	16136	118	1464.0	"RX8SPC_-jT4"	
150957	7128	57	1560.0	"j3HcgL_EvWc"	
161144	7485	85	1475.0	"tOpEJR0_Ho0"	
162513	7554	82	1471.0	"uR6mE55WofA"	
157301	7675	101	1438.0	"OJMXW_EAJ7s"	
126453	5029	51	2237.0	"tpA55cokWTc"	
158931	7822	60	1548.0	"QLr-4NjQBFE"	
171314	7954	61	1492.0	"zc6Ng3v3i24"	
431488	16445	133	1937.0	"DQbSkbmBQ7A"	
173542	9456	47	1423.0	"aqfjPF0Fn54"	
183415	8698	95	1719.0	"J9wJYUYDGPU"	
181813	9179	247	1367.0	"UHu4ys3Lt50"	
212664	10575	67	1459.0	"N-glIK3rV7s"	
132194	5115	48	1757.0	"USHPhZQTb1k"	
319188	18640	119	1345.0	"XVkq9wR1K78"	
142597	5703	59	2306.0	"_mMoxBQm4aQ"	
506496	18217	175	2103.0	"MWfv46o_19E"	
